RAMAS,TITULACION,HOMBRES,MUJERES
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA CIVIL,645,247
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,386,86
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA ELECTRONICA INDUSTRIAL,224,44
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA INFORMATICA,1148,126
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA INFORMATICA (CEUTA),43,9
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA INFORMATICA Y MATEMATICAS,122,38
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA QUIMICA,251,179
CIENCIAS DE LA SALUD,GRADO EN ENFERMERIA,178,634
CIENCIAS DE LA SALUD,GRADO EN ENFERMERIA (CEUTA),116,363
CIENCIAS DE LA SALUD,GRADO EN ENFERMERIA (MELILLA),86,273
CIENCIAS DE LA SALUD,GRADO EN FARMACIA,640,1419
CIENCIAS DE LA SALUD,GRADO EN FISIOTERAPIA,119,153
CIENCIAS DE LA SALUD,GRADO EN LOGOPEDIA,31,259
CIENCIAS DE LA SALUD,GRADO EN MEDICINA,588,1000
CIENCIAS DE LA SALUD,GRADO EN NUTRICION HUMANA Y DIETETICA,108,332
CIENCIAS DE LA SALUD,GRADO EN ODONTOLOGIA,150,290
CIENCIAS DE LA SALUD,GRADO EN PSICOLOGIA,362,1136
CIENCIAS DE LA SALUD,GRADO EN TERAPIA OCUPACIONAL,56,190
