TITULACIONES,PLAZAS OFERTADAS,CUPO GENERAL,MAYORES 25,MAYORES 40 Y 45,TITULADOS,DISCAPACITADOS,DEPORTISTAS
GRADO EN EDUCACION SOCIAL (MELILLA),80,30,0,0,0,0,0
GRADO EN ENFERMERIA,200,186,4,4,2,3,1
GRADO EN ENFERMERIA (CEUTA),135,139,3,1,1,0,0
GRADO EN ENFERMERIA (MELILLA),110,108,3,0,1,1,0
GRADO EN ESTADISTICA,60,61,0,0,0,0,0
GRADO EN ESTUDIOS ARABES E ISLAMICOS,50,34,2,0,1,0,0
GRADO EN ESTUDIOS FRANCESES,75,69,1,2,0,0,0
GRADO EN ESTUDIOS INGLESES,150,151,0,0,2,0,0
GRADO EN FARMACIA,320,316,1,0,3,2,0
GRADO EN FILOLOGIA CLASICA,50,35,0,0,3,0,0
GRADO EN FILOLOGIA HISPANICA,75,73,1,1,1,1,0
GRADO EN FILOSOFIA,80,78,1,0,0,0,0
GRADO EN FINANZAS Y CONTABILIDAD,129,127,2,0,1,0,0
GRADO EN FISICA,130,129,0,0,2,1,0
GRADO EN FISIOTERAPIA,60,56,2,2,0,1,7
GRADO EN GEOGRAFIA Y GESTION DEL TERRITORIO,60,48,2,0,0,0,0
GRADO EN GEOLOGIA,75,71,2,1,1,1,0
GRADO EN HISTORIA,150,141,3,2,2,1,0
GRADO EN HISTORIA DEL ARTE,150,133,1,2,1,0,0
GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,65,63,2,0,1,0,0
GRADO EN INFORMACION Y DOCUMENTACION,100,47,1,1,4,0,0
GRADO EN INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,100,99,1,0,0,0,1
GRADO EN INGENIERIA CIVIL,200,172,1,0,1,0,0
GRADO EN INGENIERIA ELECTRONICA INDUSTRIAL,65,65,1,0,1,0,0
GRADO EN INGENIERIA INFORMATICA,300,294,2,0,3,1,0
GRADO EN INGENIERIA INFORMATICA + MATEMATICAS,50,50,0,0,1,0,0
GRADO EN INGENIERIA INFORMATICA (CEUTA),50,18,1,0,0,0,0
