RAMAS,TITULACION,HOMBRES,MUJERES
ARTES Y HUMANIDADES,GRADO EN ARQUEOLOGIA,44,71
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,326,635
ARTES Y HUMANIDADES,GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURAL,44,158
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,51,179
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,178,457
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ARABES E ISLAMICOS,51,98
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA CLASICA,49,90
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA HISPANICA,116,394
ARTES Y HUMANIDADES,GRADO EN FILOSOFIA,172,93
ARTES Y HUMANIDADES,GRADO EN HISTORIA,393,185
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,157,335
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,135,107
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,106,325
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,53,97
ARTES Y HUMANIDADES,GRADO EN TRADUCCION E INTERPRETACION,276,1105
ARTES Y HUMANIDADES,LICENCIATURA EN ANTROPOLOGIA SOCIAL Y CULTURAL,15,33
ARTES Y HUMANIDADES,LICENCIATURA EN BELLAS ARTES,48,63
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA CLASICA,6,7
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ESLAVA,1,2
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA FRANCESA,4,15
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA HISPANICA,10,26
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA INGLESA,36,86
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ITALIANA,0,1
