PROVINCIA,HOMBRES,MUJERES
AVILA,4,10
A CORUÑA,27,49
ALBACETE,61,93
ALICANTE,122,208
ALMERIA,1081,1585
ARABA/ALAVA,20,29
ASTURIAS,19,28
BADAJOZ,124,196
BARCELONA,180,271
BIZKAIA,24,34
BURGOS,14,12
CANTABRIA,8,17
CASTELLON,3,20
CEUTA,342,519
CIUDAD REAL,205,350
CUENCA,11,22
CACERES,46,54
CADIZ,793,1118
CORDOBA,865,1223
GIPUZKOA,15,28
GIRONA,37,59
GRANADA,9946,12495
GUADALAJARA,4,11
HUELVA,151,179
HUESCA,6,15
ILLES BALEARS,111,221
JAEN,1578,2183
LA RIOJA,8,12
LAS PALMAS,142,235
LEON,19,17
LLEIDA,15,18
LUGO,5,6
MADRID,165,267
MELILLA,384,636
MURCIA,244,356
MALAGA,1246,1534
NAVARRA,19,38
OURENSE,5,6
PALENCIA,4,1
PONTEVEDRA,18,18
SALAMANCA,8,21
SANTA CRUZ DE TENERIFE,71,120
SEGOVIA,8,3
SEVILLA,253,429
SORIA,4,2
TARRAGONA,14,27
TERUEL,4,14
TOLEDO,26,51
VALENCIA,38,77
VALLADOLID,15,18
ZAMORA,9,6
ZARAGOZA,24,33
