PROVINCIA,HOMBRES,MUJERES
ALAVA,24,47
ALBACETE,61,97
ALICANTE,172,247
ALMERIA,1372,1906
ASTURIAS,24,30
AVILA,5,6
BADAJOZ,140,199
BALEARES,131,250
BARCELONA,247,340
BURGOS,14,26
CACERES,57,63
CADIZ,948,1200
CANTABRIA,17,27
CASTELLON,10,24
CEUTA,408,609
CIUDAD REAL,215,353
CORDOBA,1016,1471
A CORUÑA,24,33
CUENCA,17,27
EXTRANJERO,17,17
GERONA,54,69
GRANADA,10728,13556
GUADALAJARA,5,16
GUIPUZCUA,18,25
HUELVA,156,179
HUESCA,7,16
JAEN,1864,2542
LA RIOJA,11,17
LEON,19,19
LERIDA,18,27
LUGO,4,5
MADRID,252,325
MALAGA,1493,1810
MELILLA,451,708
MURCIA,329,427
NAVARRA,24,34
NINGUNA,400,196
ORENSE,5,6
PALENCIA,11,8
LAS PALMAS,168,232
PONTEVEDRA,24,20
SALAMANCA,15,20
SEGOVIA,4,5
SEVILLA,294,421
SORIA,6,6
SANTA CRUZ DE TENERIFE,110,119
TARRAGONA,15,40
TERUEL,6,10
TOLEDO,30,48
VALENCIA,64,92
VALLADOLID,22,25
VIZCAYA,41,29
ZAMORA,5,5
ZARAGOZA,32,37
