RAMAS,TITULACION,HOMBRES,MUJERES,TOTAL
ARTES Y HUMANIDADES,GRADUADO/A EN ARQUEOLOGIA,18,41,59
ARTES Y HUMANIDADES,GRADUADO/A EN BELLAS ARTES,364,550,914
ARTES Y HUMANIDADES,GRADUADO/A EN CONSERVACION Y RESTAURACION DE BIENES CULTURAL,39,131,170
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS ARABES E ISLAMICOS,57,71,128
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS FRANCESES,56,160,216
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS INGLESES,194,372,566
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGIA CLASICA,45,82,127
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGIA HISPANICA,274,209,483
ARTES Y HUMANIDADES,GRADUADO/A EN FILOSOFIA,148,75,223
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA,402,138,540
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA DEL ARTE,152,291,443
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MUSICA,131,90,221
ARTES Y HUMANIDADES,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,174,209,383
ARTES Y HUMANIDADES,GRADUADO/A EN LITERATURAS COMPARADAS,56,71,127
ARTES Y HUMANIDADES,GRADUADO/A EN TRADUCCION E INTERPRETACION,287,1002,1289
ARTES Y HUMANIDADES,LICENCIADO EN ANTROPOLOGIA SOCIAL Y CULTURAL,24,45,69
ARTES Y HUMANIDADES,LICENCIADO EN BELLAS ARTES,103,154,257
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ARABE,10,17,27
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA CLASICA,13,17,30
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ESLAVA,7,8,15
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA FRANCESA,16,33,49
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA HISPANICA,46,72,118
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA INGLESA,62,166,228
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ITALIANA,0,1,1
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ROMANICA,3,4,7
ARTES Y HUMANIDADES,LICENCIADO EN FILOSOFIA,53,35,88
ARTES Y HUMANIDADES,LICENCIADO EN GEOGRAFIA,37,14,51
