"TITULACION","RAMA","CENTRO","CAMPUS"
"MASTER UNIVERSITARIO EN ECONOMI­A Y ORGANIZACION DE EMPRESAS (M02.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ECONOMI­A / ECONOMICS (M56.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN EDUCACION MUSICAL: UNA PERSPECTIVA MULTIDISCIPLINAR (M72.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","MELILLA"
"MASTER UNIVERSITARIO EN EDUCACION SOCIAL: INVESTIGACION Y DESARROLLO PROFESIONAL (M88.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN EDUCADOR / EDUCADORA AMBIENTAL (M54.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN EL ANALISIS GEOGRAFICO EN LA ORDENACION DEL TERRITORIO. TECNOLOGI­AS DE LA INFORMACION GEOGRAFICA (M07.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ESTUDIOS E INTERVENCION SOCIAL EN INMIGRACION, DESARROLLO Y GRUPOS VULNERABLES (M09.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN GERONTOLOGI­A, DEPENDENCIA Y PROTECCION DE LOS MAYORES (M65.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN GESTION Y TECNOLOGI­AS DE PROCESOS DE NEGOCIO (M93.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN INFORMACION Y COMUNICACION CIENTI­FICA (M12.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN INTERVENCION PSICOPEDAGOGICA (M11.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN INVESTIGACION E INNOVACION EN CURRI­CULUM Y FORMACION (M98.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN INVESTIGACION EN ACTIVIDAD FI­SICA Y DEPORTE (M57.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR (M01.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN NUEVOS MEDIOS INTERACTIVOS Y PERIODISMO MULTIMEDIA (MB2.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN PROBLEMAS SOCIALES. DIRECCION Y GESTION DE PROGRAMAS SOCIALES (M08.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN PROFESORADO DE EDUCACION SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACION PROFESIONAL Y ENSEÑANZA DE IDIOMAS (S01 A S45.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","MIºLTIPLES"
"MASTER UNIVERSITARIO EN PSICOLOGI­A DE LA INTERVENCION SOCIAL (M10.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN TECNICAS CUANTITATIVAS EN GESTION EMPRESARIAL (MA4.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ARQUITECTURA (M97.56.3)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN CIENCIA DE DATOS E INGENIERI­A DE COMPUTADORES (M51.56.2)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN DESARROLLO DEL SOFTWARE (M52.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN ESTRUCTURAS (M63.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN GESTION Y SEGURIDAD INTEGRAL EN LA EDIFICACION (M74.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR Y FUENTENUEVA"
"MASTER UNIVERSITARIO EN GESTION Y TECNOLOGI­AS DE PROCESOS DE NEGOCIO (M93.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN HIDRAULICA AMBIENTAL (M62.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN INGENIERI­A ACIºSTICA (MA8.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN INGENIERI­A DE CAMINOS, CANALES Y PUERTOS (MA9.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN INGENIERI­A DE TELECOMUNICACION (M92.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN INGENIERI­A INFORMATICA (M50.56.2)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN INGENIERI­A QUI­MICA (M43.56.3)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES (M67.56.1)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN REHABILITACION ARQUITECTONICA (M97.56.2)","INGENIERI­A Y ARQUITECTURA","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"DOUBLE MASTER (DOUBLE DEGREE) IN ECONOMICS (M56.56.1) AND INTERNATIONAL MANAGEMENT","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","UGR - SRH HOCHSCHULE BERLIN (GERMANY)"
"MASTER UNIVERSITARIO EN ECONOMI­A Y ORGANIZACION DE EMPRESAS (M02.56.1) Y MASTER IN INTERNATIONAL MANAGEMENT","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","UGR - ESC DIJON-BOURGOGNE (FRANCIA)"
"MASTER UNIVERSITARIO EN MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR (M01.56.1) Y MASTER EN MARKETING STRATEGIC ET OPERATIONNEL","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","UGR - IGR-IAE UNIVERSITE DE RENNES (FRANCIA)"
